"IID","Pop","Color","Predicted_Ancestry","PC1","PC2","PC3","PC4"
"NA12005","CEU","gray","CEU",0.014146,-0.00995531,2.57727e-05,-0.0131587
"NA12006","CEU","gray","CEU",0.0143104,-0.0106147,0.00132776,-0.0127834
"NA12043","CEU","gray","CEU",0.0139769,-0.0107534,0.000769141,-0.00687562
"NA12044","CEU","gray","CEU",0.0135758,-0.0105065,0.000100739,-0.00754496
"NA12045","CEU","gray","CEU",0.0136997,-0.0104589,0.000614802,-0.0123544
"NA12056","CEU","gray","CEU",0.014021,-0.0109489,0.000914549,-0.0106419
"NA12057","CEU","gray","CEU",0.013113,-0.0103943,0.00102946,-0.0115144
"NA12144","CEU","gray","CEU",0.0139601,-0.00958399,-0.000140149,-0.0025543
"NA12145","CEU","gray","CEU",0.0137286,-0.0107102,0.000913026,-0.0089854
"NA12146","CEU","gray","CEU",0.0134241,-0.011938,0.00059271,-0.0120098
"NA12154","CEU","gray","CEU",0.0140792,-0.0100415,0.000563204,-0.00947997
"NA12155","CEU","gray","CEU",0.014268,-0.010656,0.000675675,-0.0112296
"NA12156","CEU","gray","CEU",0.0138124,-0.0104546,-0.00190027,-0.0160887
"NA12234","CEU","gray","CEU",0.0142343,-0.0103929,0.00086245,-0.00748953
"NA12239","CEU","gray","CEU",0.0135815,-0.00976097,-4.43919e-05,-0.00884468
"NA12248","CEU","gray","CEU",0.0130703,-0.00913794,0.00214154,-0.0133258
"NA12249","CEU","gray","CEU",0.0141222,-0.0103127,4.50144e-05,-0.0127989
"NA12264","CEU","gray","CEU",0.0136686,-0.0106624,0.00113327,-0.00898018
"NA12272","CEU","gray","CEU",0.0139527,-0.0109686,0.00138749,-0.00632803
"NA12273","CEU","gray","CEU",0.0135157,-0.0103762,0.00111747,-0.00589028
"NA12275","CEU","gray","CEU",0.0134571,-0.0108969,0.00139587,-0.0109372
"NA12282","CEU","gray","CEU",0.0136587,-0.0103195,-0.000672382,-0.00788971
"NA12283","CEU","gray","CEU",0.0133291,-0.0101574,0.000576325,-0.00698664
"NA12286","CEU","gray","CEU",0.0136411,-0.00933924,0.00142382,-0.00183222
"NA12287","CEU","gray","CEU",0.0132144,-0.009919,0.00106868,-0.00679611
"NA12335","CEU","gray","CEU",0.0136197,-0.0106911,0.00198244,-0.00899673
"NA12336","CEU","gray","CEU",0.0138234,-0.0113949,0.000116568,-0.00926583
"NA12340","CEU","gray","CEU",0.0138295,-0.0110269,0.00214219,-0.00711306
"NA12341","CEU","gray","CEU",0.0131096,-0.0109703,0.00124734,-0.00620475
"NA12342","CEU","gray","CEU",0.0145395,-0.0113813,0.00173479,-0.00926132
"NA12343","CEU","gray","CEU",0.0132723,-0.0103254,0.00112738,-0.00689846
"NA12344","CEU","gray","CEU",0.0131108,-0.0100529,0.00015164,-0.0102759
"NA12347","CEU","gray","CEU",0.0138395,-0.0110002,9.2656e-05,-0.0118283
"NA12348","CEU","gray","CEU",0.0130676,-0.00905708,0.00200107,-0.0112088
"NA12375","CEU","gray","CEU",0.0136191,-0.0107727,-0.000179228,-0.00745234
"NA12376","CEU","gray","CEU",0.0138404,-0.0107076,0.000380441,-0.0120366
"NA12383","CEU","gray","CEU",0.0135302,-0.0106624,-0.00066993,-0.00765085
"NA12386","CEU","gray","CEU",0.0139232,-0.0100385,0.00156906,-0.00723105
"NA12399","CEU","gray","CEU",0.0138074,-0.0107838,0.000386802,-0.00995433
"NA12400","CEU","gray","CEU",0.0138896,-0.00981565,0.00297869,-0.00863515
"NA12413","CEU","gray","CEU",0.0136438,-0.0102558,-0.000667436,-0.00397295
"NA12489","CEU","gray","CEU",0.0134898,-0.0108606,-2.32259e-05,-0.0101506
"NA12546","CEU","gray","CEU",0.0138907,-0.010595,-0.000365301,-0.0108043
"NA12707","CEU","gray","CEU",0.0134315,-0.0100715,0.000694799,-0.0102109
"NA12708","CEU","gray","CEU",0.0136465,-0.00929322,0.00100724,-0.0100499
"NA12716","CEU","gray","CEU",0.014154,-0.0114413,0.000302589,-0.00964526
"NA12718","CEU","gray","CEU",0.0137008,-0.0104886,0.000159939,-0.0106343
"NA12739","CEU","gray","CEU",0.0141734,-0.00990854,0.00141226,-0.0104468
"NA12740","CEU","gray","CEU",0.0139774,-0.0106403,-0.00139615,-0.00848145
"NA12748","CEU","gray","CEU",0.0135672,-0.00952726,0.000842925,-0.00990201
"NA12749","CEU","gray","CEU",0.013975,-0.0105529,0.00125497,-0.00887041
"NA12750","CEU","gray","CEU",0.0135728,-0.0103383,-0.00129993,-0.00819571
"NA12751","CEU","gray","CEU",0.0137788,-0.0115902,0.000336435,-0.0108134
"NA12752","CEU","gray","CEU",0.0143818,-0.010253,0.000296106,-0.00686203
"NA12753","CEU","gray","CEU",0.0137851,-0.0100204,0.00377436,-0.00722622
"NA12760","CEU","gray","CEU",0.0132574,-0.0103547,0.00156099,-0.00607701
"NA12761","CEU","gray","CEU",0.0143168,-0.0103247,0.000642878,-0.00926049
"NA12762","CEU","gray","CEU",0.0141391,-0.0105474,0.0029864,-0.00979874
"NA12763","CEU","gray","CEU",0.0132554,-0.0102182,0.00325403,-0.00486991
"NA12766","CEU","gray","CEU",0.0142324,-0.0101897,0.00063953,-0.0130095
"NA12767","CEU","gray","CEU",0.0146692,-0.0109543,0.000237589,-0.0100989
"NA12775","CEU","gray","CEU",0.0143108,-0.0107501,-0.00184156,-0.0118851
"NA12776","CEU","gray","CEU",0.0138117,-0.00973917,0.00318933,-0.0130056
"NA12777","CEU","gray","CEU",0.0142983,-0.0107462,0.00111075,-0.00950998
"NA12778","CEU","gray","CEU",0.0139441,-0.0103168,0.00124423,-0.00935942
"NA12801","CEU","gray","CEU",0.0140516,-0.0110894,0.00211625,-0.0109124
"NA12802","CEU","gray","CEU",0.0138714,-0.0104168,-0.00143309,-0.0152754
"NA12812","CEU","gray","CEU",0.0138667,-0.0103513,0.00230084,-0.00879147
"NA12813","CEU","gray","CEU",0.0139152,-0.0106398,0.00243195,-0.0122622
"NA12814","CEU","gray","CEU",0.0134977,-0.0110704,-0.000804663,-0.0120811
"NA12815","CEU","gray","CEU",0.0141792,-0.0100973,6.11907e-05,-0.0117997
"NA12817","CEU","gray","CEU",0.0133952,-0.0111651,0.00137613,-0.00900239
"NA12818","CEU","gray","CEU",0.0137613,-0.0104298,-0.000387412,-0.00773475
"NA12827","CEU","gray","CEU",0.0134979,-0.0104353,0.00225727,-0.00990286
"NA12828","CEU","gray","CEU",0.0135409,-0.0107031,0.00115152,-0.0106866
"NA12829","CEU","gray","CEU",0.0133017,-0.01058,0.000938354,-0.00732046
"NA12830","CEU","gray","CEU",0.0134408,-0.00965921,-0.000694374,-0.0074012
"NA12832","CEU","gray","CEU",0.0142561,-0.0102867,0.000408281,-0.01325
"NA12842","CEU","gray","CEU",0.0139504,-0.0106197,0.000176169,-0.0132671
"NA12843","CEU","gray","CEU",0.0138323,-0.00932217,-0.00196126,-0.0123474
"NA12864","CEU","gray","CEU",0.0137931,-0.00979954,0.00175187,-0.0115226
"NA12865","CEU","gray","CEU",0.0135665,-0.0104899,0.000327807,-0.0118917
"NA12872","CEU","gray","CEU",0.013839,-0.00887895,0.000307212,-0.00966584
"NA12873","CEU","gray","CEU",0.0143701,-0.0101133,0.00308537,-0.0134436
"NA12874","CEU","gray","CEU",0.0138,-0.0102541,0.000568735,-0.00942809
"NA12875","CEU","gray","CEU",0.0135492,-0.0105312,-0.000905058,-0.0108225
"NA12877","CEU","gray","CEU",0.0135849,-0.0103731,0.00139741,-0.0111916
"NA12878","CEU","gray","CEU",0.0139471,-0.0104607,0.00182527,-0.0122532
"NA12889","CEU","gray","CEU",0.013153,-0.0104357,0.00296098,-0.00729574
"NA12890","CEU","gray","CEU",0.0138729,-0.0105083,-0.000145843,-0.0115366
"NA12891","CEU","gray","CEU",0.0137289,-0.0106288,0.00145695,-0.0118864
"NA12892","CEU","gray","CEU",0.013909,-0.0110341,-3.4555e-05,-0.00920482
"NA17962","CHD","goldenrod1","CHD",-0.00362939,0.056786,0.000470205,-0.00124167
"NA17965","CHD","goldenrod1","CHD",-0.00325901,0.0567435,0.00206438,-0.0026928
"NA17966","CHD","goldenrod1","CHD",-0.00323477,0.0562481,0.00386522,0.00219767
"NA17967","CHD","goldenrod1","CHD",-0.00309505,0.0558558,0.000111567,-0.00176285
"NA17968","CHD","goldenrod1","CHD",-0.00332935,0.0543722,0.00100794,0.00198914
"NA17969","CHD","goldenrod1","CHD",-0.00306084,0.0561742,0.00160892,-0.00144709
"NA17970","CHD","goldenrod1","CHD",-0.00264116,0.054592,0.000371081,-0.00121185
"NA17972","CHD","goldenrod1","CHD",-0.00291654,0.0557377,0.00215149,-0.000827685
"NA17974","CHD","goldenrod1","CHD",-0.00303377,0.0566791,0.000862208,-0.00318062
"NA17975","CHD","goldenrod1","CHD",-0.00279666,0.056825,0.00359744,-0.00260028
"NA17976","CHD","goldenrod1","CHD",-0.00303589,0.0546301,0.00178426,-0.00454937
"NA17977","CHD","goldenrod1","CHD",-0.00377022,0.0556763,0.0020193,-0.00546407
"NA17979","CHD","goldenrod1","CHD",-0.00422932,0.0556888,0.00122889,0.0024402
"NA17980","CHD","goldenrod1","CHD",-0.00306625,0.0568298,0.00260154,-0.0046533
"NA17981","CHD","goldenrod1","CHD",-0.00295692,0.0564465,0.00503679,0.000672407
"NA17982","CHD","goldenrod1","CHD",-0.00339809,0.0555922,0.00111572,-9.7345e-05
"NA17983","CHD","goldenrod1","CHD",-0.00345489,0.0562628,0.00314922,-0.000974101
"NA17986","CHD","goldenrod1","CHD",-0.00320366,0.0569628,0.003378,-0.00015842
"NA17987","CHD","goldenrod1","CHD",-0.0038289,0.0563762,0.000580519,-0.000813082
